Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.299786
FDW14,OUT017,1435.9121343749998
NCN55,OUT010,584.7577647727272
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890879999996
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1879.257011612902
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1435.9121343749998
NCC54,OUT019,584.7577647727272
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.413267368423
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295056
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.2957751824824
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727272
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842516
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.348476190477
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727272
FDC26,OUT013,1649.299786
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.2957751824824
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1461.843795999999
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,3259.5620849056622
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.7577647727272
FDE52,OUT045,1435.9121343749998
FDW12,OUT035,2286.413267368423
FDL51,OUT017,3643.5197259842516
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1573.0706258064517
FDN40,OUT045,2286.413267368423
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.413267368423
NCL06,OUT046,4034.30030689655
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.30030689655
DRC36,OUT045,3259.5620849056622
FDV21,OUT019,281.48208181818165
FDB53,OUT046,3053.0998777777777
DRP47,OUT019,584.7577647727272
FDA14,OUT013,3053.0998777777777
DRC24,OUT035,2644.477842708332
FDW21,OUT018,1372.6884907407405
NCH29,OUT046,1682.2122382352943
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2552.005235185187
FDV56,OUT035,1682.2122382352943
FDT59,OUT046,3945.432567213115
FDB23,OUT046,3945.432567213115
